,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance percent,gsts,NDF,age,poss,NPG,YC,RC,GP90,XG90,XA90,Save per,Pen save per,shots per,pass completion,prog dist,fouls,fouls drawn,offsides,aerial per
0,Real Madrid, 38 ,26,8,4,80.0,31.0, +49 , 86 , 2.26 ,74.4,47.1, +27.3 , +0.72 ,50.879769014362566,27,31,27.7,60.3,72.0,76.0,0.0, 2.11 , 1.96 , 1.35 ,77.2, 40.0 ,36.8,87.7,114406.0,460.0,557.0,106.0,54.4
1,Barcelona, 38 ,21,10,7,68.0,38.0, +30 , 73 , 1.92 ,62.1,36.0, +26.1 , +0.69 ,54.33299112265233,12,38,26.2,64.8,62.0,97.0,5.0, 1.79 , 1.63 , 1.17 ,71.0, 33.3 ,34.2,86.6,119379.0,555.0,624.0,99.0,52.4
2,Atlético Madrid, 38 ,21,8,9,65.0,43.0, +22 , 71 , 1.87 ,52.8,33.7, +19.1 , +0.50 ,70.17500292158468,12,26,28.1,50.6,59.0,111.0,7.0, 1.66 , 1.39 , 1.00 ,62.5, 12.5 ,32.7,79.8,97041.0,534.0,610.0,85.0,51.2
3,Sevilla, 38 ,18,16,4,53.0,30.0, +23 , 70 , 1.84 ,43.5,38.5, +5.0 , +0.13 ,69.6633422297139,10,33,28.6,59.8,49.0,97.0,4.0, 1.34 , 1.15 , 0.87 ,76.3, 33.3 ,32.6,83.4,108546.0,531.0,523.0,80.0,51.8
4,Betis, 38 ,19,8,11,62.0,40.0, +22 , 65 , 1.71 ,55.2,44.3, +10.9 , +0.29 ,69.2699518831923,16,31,28.9,54.1,55.0,87.0,6.0, 1.61 , 1.45 , 1.00 ,70.9, 0.0 ,35.3,81.5,100328.0,548.0,564.0,71.0,48.9
5,Real Sociedad, 38 ,17,11,10,40.0,37.0, +3 , 62 , 1.63 ,53.8,39.7, +14.1 , +0.37 ,67.0325,9,32,25.7,54.7,31.0,77.0,4.0, 1.05 , 1.42 , 0.82 ,73.8, 16.7 ,32.5,80.9,98799.0,546.0,551.0,76.0,54.5
6,Villarreal, 38 ,16,11,11,63.0,37.0, +26 , 59 , 1.55 ,62.6,46.5, +16.1 , +0.42 ,60.82127659574468,10,29,28.0,57.0,57.0,81.0,1.0, 1.63 , 1.65 , 1.23 ,73.4, 20.0 ,36.0,82.8,109214.0,539.0,543.0,91.0,54.1
7,Valencia, 38 ,11,15,12,48.0,53.0, -5 , 48 , 1.26 ,39.2,47.3, -8.0 , -0.21 ,55.32874772405422,11,34,24.8,43.6,37.0,134.0,8.0, 1.18 , 1.03 , 0.64 ,70.5, 12.5 ,32.2,71.4,81559.0,710.0,640.0,52.0,48.3
8,Osasuna, 38 ,12,11,15,37.0,51.0, -14 , 47 , 1.24 ,37.2,45.2, -8.0 , -0.21 ,72.56107906345436,8,29,27.7,46.7,31.0,84.0,2.0, 0.97 , 0.98 , 0.61 ,66.4, 42.9 ,26.8,73.1,100297.0,578.0,446.0,66.0,52.1
9,Celta Vigo, 38 ,12,10,16,43.0,43.0, 0 , 46 , 1.21 ,44.0,46.6, -2.6 , -0.07 ,34.53103448275862,18,25,28.4,55.6,40.0,87.0,3.0, 1.13 , 1.16 , 0.74 ,69.5, 50.0 ,33.2,79.0,97852.0,576.0,545.0,83.0,46.8
